"subtopics","paper","conf","year","status","topic"
"2","150108","12","2016","1","1"
"2","78224","3","2011","1","1"
"2","137425","9","2015","1","1"
"2","62532","1","2010","2","1"
"2","73991","2","2010","1","1"
"2","121044","8","2014","2","1"
"2","1570163595","10","2015","2","1"
"2","78062","3","2011","2","1"
"2","120674","8","2014","1","1"
"2","163849","14","2017","1","1"
"2","73908","2","2010","1","1"
"2","108779","7","2013","2","1"
"2","62528","1","2010","1","1"
"2","78192","3","2011","2","1"
"2","1570285998","13","2016","2","1"
"2","62413","1","2010","1","1"
"2","78323","3","2011","2","1"
"2","107033","7","2013","1","1"
"2","121329","8","2014","1","1"
"2","121699","8","2014","1","1"
"2","108708","7","2013","2","1"
"2","62447","1","2010","2","1"
"2","104992","7","2013","2","1"
"2","150104","12","2016","1","1"
"2","134501","9","2015","2","1"
"2","1570285917","13","2016","1","1"
"2","148452","12","2016","1","1"
"2","84261","4","2011","1","1"
"2","163951","14","2017","1","1"
"2","78363","3","2011","1","1"
"2","93963","5","2012","1","1"
"2","121802","8","2014","2","1"
"2","121055","8","2014","2","1"
"2","137525","9","2015","1","1"
"2","94010","5","2012","1","1"
"2","98206","6","2012","2","1"
"2","150037","12","2016","1","1"
"2","1570286719","13","2016","2","1"
"2","108811","7","2013","1","1"
"2","121801","8","2014","2","1"
"2","98202","6","2012","2","1"
"2","93991","5","2012","1","1"
"2","150452","12","2016","2","1"
"2","108732","7","2013","2","1"
"2","85725","4","2011","1","1"
"2","108668","7","2013","1","1"
"2","88247","5","2012","2","1"
"2","78351","3","2011","1","1"
"2","1570282229","13","2016","2","1"
"2","120108","8","2014","1","1"
"2","94145","5","2012","2","1"
"2","1570161239","10","2015","2","1"
"2","1570158951","10","2015","1","1"
"2","137411","9","2015","1","1"
"2","150480","12","2016","1","1"
"2","164238","14","2017","1","1"
"2","99924","6","2012","1","1"
"2","1570162089","10","2015","2","1"
"2","78400","3","2011","2","1"
"2","93986","5","2012","1","1"
"2","94032","5","2012","2","1"
"2","77442","3","2011","2","1"
"2","93901","5","2012","1","1"
"2","163862","14","2017","2","1"
"2","137386","9","2015","1","1"
"2","121670","8","2014","2","1"
"3","62442","1","2010","1","1"
"3","137407","9","2015","1","1"
"3","93381","5","2012","1","1"
"3","73972","2","2010","1","1"
"3","62533","1","2010","2","1"
"3","85720","4","2011","1","1"
"3","98370","6","2012","2","1"
"3","77982","3","2011","1","1"
"3","73890","2","2010","1","1"
"3","88535","4","2011","1","1"
"3","73892","2","2010","1","1"
"3","73883","2","2010","1","1"
"3","62446","1","2010","2","1"
"3","61810","1","2010","1","1"
"3","149552","12","2016","1","1"
"3","68089","2","2010","2","1"
"3","85649","4","2011","1","1"
"3","93335","5","2012","2","1"
"3","77597","3","2011","1","1"
"3","73933","2","2010","1","1"
"3","121043","8","2014","1","1"
"3","137262","9","2015","1","1"
"3","121646","8","2014","2","1"
"3","99307","6","2012","2","1"
"3","120463","8","2014","1","1"
"3","78349","3","2011","2","1"
"3","78288","3","2011","1","1"
"3","85589","4","2011","2","1"
"3","163971","14","2017","1","1"
"3","133304","9","2015","2","1"
"3","1570163819","10","2015","1","1"
"3","163854","14","2017","1","1"
"3","73710","2","2010","1","1"
"3","93865","5","2012","1","1"
"3","137481","9","2015","1","1"
"3","72700","2","2010","1","1"
"3","98201","6","2012","2","1"
"3","84342","4","2011","1","1"
"3","106928","7","2013","1","1"
"3","150130","12","2016","1","1"
"3","137459","9","2015","2","1"
"3","62522","1","2010","1","1"
"3","98319","6","2012","1","1"
"3","150091","12","2016","1","1"
"3","78416","3","2011","1","1"
"3","62476","1","2010","2","1"
"3","62413","1","2010","1","1"
"3","62503","1","2010","1","1"
"3","73243","2","2010","2","1"
"3","62498","1","2010","1","1"
"3","94004","5","2012","2","1"
"3","98364","6","2012","2","1"
"3","62448","1","2010","1","1"
"3","78222","3","2011","1","1"
"3","92405","5","2012","1","1"
"3","121674","8","2014","1","1"
"3","73040","2","2010","1","1"
"3","121706","8","2014","1","1"
"3","62464","1","2010","1","1"
"3","73891","2","2010","1","1"
"3","84377","4","2011","2","1"
"3","84227","4","2011","1","1"
"3","163925","14","2017","1","1"
"3","1570160459","10","2015","1","1"
"3","62341","1","2010","1","1"
"3","73007","2","2010","2","1"
"3","78371","3","2011","1","1"
"3","94025","5","2012","1","1"
"3","84357","4","2011","2","1"
"3","62369","1","2010","2","1"
"3","62463","1","2010","1","1"
"3","77709","3","2011","1","1"
"3","61816","1","2010","1","1"
"3","62552","1","2010","1","1"
"3","84098","4","2011","1","1"
"3","73219","2","2010","1","1"
"3","62419","1","2010","2","1"
"3","78379","3","2011","1","1"
"3","137508","9","2015","2","1"
"3","93334","5","2012","1","1"
"3","137322","9","2015","2","1"
"3","62462","1","2010","1","1"
"3","73735","2","2010","2","1"
"3","73900","2","2010","1","1"
"3","73955","2","2010","1","1"
"3","98389","6","2012","1","1"
"3","78213","3","2011","1","1"
"3","120084","8","2014","1","1"
"3","149837","12","2016","1","1"
"3","94065","5","2012","2","1"
"3","62512","1","2010","1","1"
"3","73902","2","2010","1","1"
"3","73556","2","2010","1","1"
"3","78343","3","2011","2","1"
"3","134449","9","2015","2","1"
"3","98266","6","2012","2","1"
"3","62417","1","2010","1","1"
"3","120186","8","2014","1","1"
"3","94091","5","2012","2","1"
"3","62416","1","2010","1","1"
"3","1570165123","10","2015","1","1"
"3","78435","3","2011","1","1"
"3","62450","1","2010","1","1"
"3","62343","1","2010","1","1"
"3","62351","1","2010","1","1"
"3","61432","1","2010","1","1"
"3","73216","2","2010","1","1"
"3","99924","6","2012","1","1"
"3","62180","1","2010","2","1"
"3","62201","1","2010","1","1"
"3","121637","8","2014","2","1"
"3","150481","12","2016","1","1"
"3","77696","3","2011","1","1"
"3","78467","3","2011","2","1"
"3","108888","7","2013","2","1"
"3","1570172565","10","2015","2","1"
"3","118698","8","2014","1","1"
"3","98204","6","2012","1","1"
"3","137283","9","2015","2","1"
"3","98252","6","2012","2","1"
"3","62497","1","2010","2","1"
"3","84100","4","2011","2","1"
"3","84218","4","2011","2","1"
"3","94037","5","2012","1","1"
"3","62544","1","2010","2","1"
"3","62477","1","2010","1","1"
"3","77785","3","2011","1","1"
"3","74073","2","2010","1","1"
"3","61545","1","2010","2","1"
"3","121596","8","2014","2","1"
"3","1570163689","10","2015","1","1"
"3","62470","1","2010","2","1"
"3","70882","2","2010","2","1"
"3","62362","1","2010","1","1"
"3","62479","1","2010","1","1"
"3","121968","8","2014","1","1"
"3","61435","1","2010","2","1"
"3","108776","7","2013","2","1"
"3","62345","1","2010","1","1"
"3","62494","1","2010","1","1"
"3","78391","3","2011","1","1"
"3","149643","12","2016","1","1"
"3","121697","8","2014","2","1"
"3","137393","9","2015","1","1"
"3","73649","2","2010","1","1"
"3","121555","8","2014","1","1"
"3","107055","7","2013","2","1"
"3","73993","2","2010","2","1"
"4","78288","3","2011","1","1"
"4","73230","2","2010","1","1"
"4","94041","5","2012","2","1"
"4","108770","7","2013","1","1"
"4","94081","5","2012","2","1"
"4","92463","5","2012","1","1"
"4","61130","1","2010","2","1"
"4","1570205747","11","2015","1","1"
"4","78368","3","2011","1","1"
"4","92618","5","2012","1","1"
"4","108692","7","2013","1","1"
"4","92552","5","2012","1","1"
"4","137473","9","2015","1","1"
"4","73454","2","2010","1","1"
"4","137411","9","2015","1","1"
"4","108723","7","2013","2","1"
"4","120186","8","2014","1","1"
"4","94010","5","2012","1","1"
"4","98364","6","2012","2","1"
"4","1570162089","10","2015","2","1"
"4","92734","5","2012","1","1"
"4","137295","9","2015","1","1"
"4","61053","1","2010","2","1"
"4","163803","14","2017","1","1"
"4","62356","1","2010","2","1"
"4","121735","8","2014","1","1"
"5","98344","6","2012","1","1"
"5","78062","3","2011","2","1"
"5","121533","8","2014","2","1"
"5","137295","9","2015","1","1"
"5","1570287526","13","2016","1","1"
"5","108768","7","2013","2","1"
"5","93504","5","2012","2","1"
"5","93330","5","2012","1","1"
"5","149621","12","2016","1","1"
"5","61810","1","2010","1","1"
"5","94064","5","2012","1","1"
"5","84401","4","2011","2","1"
"5","108755","7","2013","2","1"
"5","108840","7","2013","2","1"
"5","93377","5","2012","2","1"
"5","61452","1","2010","2","1"
"5","94115","5","2012","1","1"
"5","108706","7","2013","1","1"
"5","150117","12","2016","1","1"
"5","121677","8","2014","1","1"
"5","1570172717","10","2015","2","1"
"5","73730","2","2010","1","1"
"5","134376","9","2015","1","1"
"5","61462","1","2010","2","1"
"5","94037","5","2012","1","1"
"5","88535","4","2011","1","1"
"5","137611","9","2015","1","1"
"5","94104","5","2012","1","1"
"5","137503","9","2015","2","1"
"5","150175","12","2016","1","1"
"5","163777","14","2017","1","1"
"5","84403","4","2011","2","1"
"5","120562","8","2014","2","1"
"5","84216","4","2011","1","1"
"6","1570282859","13","2016","2","1"
"6","93522","5","2012","1","1"
"6","106867","7","2013","1","1"
"6","62532","1","2010","2","1"
"6","137506","9","2015","2","1"
"6","78386","3","2011","1","1"
"6","99324","6","2012","2","1"
"6","61637","1","2010","2","1"
"6","92663","5","2012","2","1"
"6","134538","9","2015","2","1"
"6","61991","1","2010","2","1"
"6","1570289597","13","2016","2","1"
"6","121552","8","2014","1","1"
"6","94110","5","2012","2","1"
