,paper,conf,year,status
609,92738,5,2012,accepted
610,92751,5,2012,accepted
611,92755,5,2012,accepted
612,92787,5,2012,rejected
613,92790,5,2012,rejected
614,92793,5,2012,accepted
615,92802,5,2012,accepted
616,92808,5,2012,accepted
617,92816,5,2012,rejected
618,92829,5,2012,rejected
619,92860,5,2012,accepted
620,92902,5,2012,accepted
621,92907,5,2012,accepted
622,92933,5,2012,accepted
623,92935,5,2012,accepted
624,92940,5,2012,accepted
625,93330,5,2012,accepted
626,93331,5,2012,accepted
627,93332,5,2012,rejected
628,93334,5,2012,accepted
629,93335,5,2012,rejected
630,93336,5,2012,rejected
631,93337,5,2012,rejected
632,93343,5,2012,rejected
633,93347,5,2012,rejected
634,93357,5,2012,accepted
635,93365,5,2012,rejected
636,93366,5,2012,accepted
637,93367,5,2012,accepted
638,93368,5,2012,accepted
639,93369,5,2012,rejected
640,93370,5,2012,accepted
641,93371,5,2012,accepted
642,93372,5,2012,accepted
643,93373,5,2012,accepted
644,93374,5,2012,accepted
645,93375,5,2012,accepted
646,93377,5,2012,rejected
647,3,1,4,dog
648,93379,5,2012,accepted
649,93380,5,2012,rejected
650,93381,5,2012,accepted
651,93382,5,2012,accepted
652,93384,5,2012,accepted
653,93386,5,2012,accepted
654,93388,5,2012,rejected
655,93394,5,2012,accepted
656,93403,5,2012,accepted
657,93404,5,2012,accepted
658,93419,5,2012,accepted
659,93425,5,2012,accepted
660,93504,5,2012,rejected
661,93510,5,2012,accepted
662,93522,5,2012,accepted
663,93573,5,2012,accepted
664,93597,5,2012,rejected
665,93608,5,2012,rejected
666,93609,5,2012,rejected
667,93620,5,2012,accepted
668,93668,5,2012,accepted
669,93703,5,2012,accepted
670,93705,5,2012,rejected
671,93706,5,2012,rejected
672,93712,5,2012,rejected
673,93733,5,2012,accepted
674,93757,5,2012,rejected
675,93852,5,2012,rejected
676,93855,5,2012,rejected
677,93863,5,2012,accepted
678,93865,5,2012,accepted
679,93898,5,2012,accepted
680,93899,5,2012,rejected
681,93901,5,2012,accepted
682,93902,5,2012,accepted
683,93906,5,2012,accepted
684,93913,5,2012,accepted
685,93915,5,2012,accepted
686,93917,5,2012,accepted
687,93919,5,2012,accepted
688,93921,5,2012,rejected
689,93923,5,2012,accepted
690,93925,5,2012,accepted
691,93926,5,2012,accepted
692,93929,5,2012,rejected
693,93930,5,2012,accepted
694,93931,5,2012,rejected
695,93938,5,2012,accepted
696,93939,5,2012,accepted
697,93941,5,2012,rejected
698,3,1,4,aceito
699,93952,5,2012,rejected
700,93954,5,2012,accepted
701,3,4,1,aceito
702,93958,5,2012,rejected
703,93959,5,2012,accepted
704,93963,5,2012,accepted
705,93967,5,2012,accepted
706,93968,5,2012,rejected
707,93969,5,2012,accepted
708,93970,5,2012,accepted
709,93971,5,2012,accepted
710,93972,5,2012,accepted
711,93973,5,2012,accepted
712,93975,5,2012,rejected
713,93978,5,2012,accepted
714,93981,5,2012,accepted
715,93982,5,2012,accepted
716,93986,5,2012,accepted
717,93989,5,2012,rejected
718,93991,5,2012,accepted
719,93992,5,2012,accepted
720,93993,5,2012,accepted
721,1,4,3,dog
722,93995,5,2012,accepted
723,93997,5,2012,accepted
724,93998,5,2012,accepted
725,93999,5,2012,accepted
726,94000,5,2012,accepted
727,94001,5,2012,rejected
728,94003,5,2012,accepted
729,94004,5,2012,rejected
730,94006,5,2012,accepted
731,94008,5,2012,accepted
732,1,4,2,accepted
733,94010,5,2012,accepted
734,94011,5,2012,rejected
735,94014,5,2012,rejected
736,94018,5,2012,accepted
737,94019,5,2012,rejected
738,94020,5,2012,accepted
739,94021,5,2012,rejected
740,94022,5,2012,rejected
741,94023,5,2012,accepted
742,94024,5,2012,accepted
743,94025,5,2012,accepted
744,94026,5,2012,accepted
745,94029,5,2012,rejected
746,94030,5,2012,rejected
747,94031,5,2012,accepted
748,94032,5,2012,rejected
749,94033,5,2012,accepted
750,94034,5,2012,accepted
751,94035,5,2012,rejected
752,94037,5,2012,accepted
753,94040,5,2012,accepted
754,94041,5,2012,rejected
755,94042,5,2012,accepted
756,94043,5,2012,rejected
757,94044,5,2012,accepted
758,94045,5,2012,rejected
759,94046,5,2012,rejected
760,94048,5,2012,accepted
761,94049,5,2012,rejected
762,94052,5,2012,accepted
763,94053,5,2012,rejected
764,94054,5,2012,accepted
765,3,2,4,aceito
766,94056,5,2012,rejected
767,94057,5,2012,accepted
768,94059,5,2012,accepted
769,94060,5,2012,accepted
770,94061,5,2012,accepted
771,94062,5,2012,accepted
772,94063,5,2012,accepted
773,94064,5,2012,accepted
774,94065,5,2012,rejected
775,94066,5,2012,rejected
776,94067,5,2012,rejected
777,94068,5,2012,accepted
778,94069,5,2012,accepted
779,94070,5,2012,accepted
780,94071,5,2012,accepted
781,94072,5,2012,accepted
782,94073,5,2012,accepted
783,94074,5,2012,rejected
784,94075,5,2012,rejected
785,94076,5,2012,rejected
786,94077,5,2012,accepted
787,94078,5,2012,accepted
788,94079,5,2012,accepted
789,94080,5,2012,accepted
790,1,4,2,aceito
791,94082,5,2012,accepted
792,94083,5,2012,rejected
793,94085,5,2012,rejected
794,94086,5,2012,rejected
795,94087,5,2012,accepted
796,94088,5,2012,accepted
797,94091,5,2012,rejected
798,94092,5,2012,rejected
799,94093,5,2012,accepted
800,94094,5,2012,accepted
801,94095,5,2012,rejected
802,94096,5,2012,accepted
803,94097,5,2012,rejected
804,94098,5,2012,accepted
805,94099,5,2012,accepted
806,94100,5,2012,rejected
807,4,3,2,**
808,94103,5,2012,accepted
809,94104,5,2012,accepted
810,94105,5,2012,accepted
811,94108,5,2012,accepted
812,94109,5,2012,accepted
813,94110,5,2012,rejected
814,94112,5,2012,accepted
815,94115,5,2012,accepted
816,94116,5,2012,accepted
817,94122,5,2012,accepted
818,94138,5,2012,accepted
819,94145,5,2012,rejected
820,98201,6,2012,rejected
821,98202,6,2012,rejected
822,98204,6,2012,accepted
823,98206,6,2012,rejected
824,98223,6,2012,accepted
825,98230,6,2012,rejected
826,98252,6,2012,rejected
827,98266,6,2012,rejected
828,98309,6,2012,accepted
829,98311,6,2012,accepted
830,98315,6,2012,rejected
831,98319,6,2012,accepted
832,98323,6,2012,accepted
833,98329,6,2012,accepted
834,98334,6,2012,accepted
835,98335,6,2012,rejected
836,98338,6,2012,accepted
837,98339,6,2012,accepted
838,98340,6,2012,accepted
839,98342,6,2012,accepted
840,98343,6,2012,accepted
841,3,1,4,rejected
842,98346,6,2012,rejected
843,98347,6,2012,accepted
844,98348,6,2012,accepted
845,98353,6,2012,accepted
846,98354,6,2012,accepted
847,98356,6,2012,rejected
848,98357,6,2012,accepted
849,98360,6,2012,accepted
850,98364,6,2012,rejected
851,98370,6,2012,rejected
852,98372,6,2012,accepted
853,98378,6,2012,accepted
854,98379,6,2012,accepted
855,98382,6,2012,rejected
856,98383,6,2012,accepted
857,98384,6,2012,accepted
858,98386,6,2012,rejected
859,98389,6,2012,accepted
860,98397,6,2012,accepted
861,98423,6,2012,accepted
862,3,2,1,accepted
863,99136,6,2012,rejected
864,99146,6,2012,accepted
865,99150,6,2012,accepted
866,99178,6,2012,accepted
867,99246,6,2012,rejected
868,99252,6,2012,rejected
869,99254,6,2012,rejected
870,99257,6,2012,rejected
871,99298,6,2012,rejected
872,99307,6,2012,rejected
873,99311,6,2012,accepted
874,99324,6,2012,rejected
875,99326,6,2012,rejected
876,99330,6,2012,accepted
877,99332,6,2012,accepted
878,99334,6,2012,accepted
879,4,1,3,dog
880,99336,6,2012,rejected
881,99350,6,2012,accepted
882,99369,6,2012,accepted
883,99374,6,2012,accepted
884,99387,6,2012,accepted
885,99388,6,2012,rejected
886,99390,6,2012,accepted
887,99703,6,2012,accepted
888,99866,6,2012,rejected
889,99878,6,2012,accepted
890,99917,6,2012,rejected
891,99924,6,2012,accepted
892,99925,6,2012,accepted
893,99956,6,2012,rejected
894,99985,6,2012,accepted
895,100026,6,2012,rejected
896,100857,6,2012,accepted
897,101008,6,2012,accepted
898,101009,6,2012,accepted
