,paper,subtopics
888,99866,22-23-52-54
889,99878,2-29-32-52
890,99917,26-39-53
891,99924,2-3-12-14-32
892,99925,1-2-41
893,99956,2-52
894,99985,27-19-17-16-14-42
895,100026,12-25-31
896,100857,31-41
897,101008,21-25
898,101009,21-25-27
899,4,2
900,101165,43-31-6-2-49
901,101176,8-14-47-48-49
902,101229,14-22-25-42
903,101273,10-14-19-25-29-31-37
904,101286,30-32-50
905,101455,16-21-42
906,101748,1-26-51
907,101750,23-25-27-39
908,101751,31-42-45-48
909,101792,1-26
910,106396,8-10-29-42-49
911,106421,8-10-16-23
912,106460,42
913,106464,10-17-27-42
914,106473,16-14-8-19
915,106531,16-32
916,106552,14-27-31-32-52
917,106634,23-17-10-8-31
918,1,4
919,1,2
920,108133,14-10-9-42
921,108134,10-16-42
922,108137,8-10-14-16-42
923,108365,25-46-55
924,108366,9-26-42
925,108367,19-16-25
926,108370,32-27-2-43
927,104088,21-22
928,104992,2-45
929,105028,24-48
930,105276,25-21-26
931,105478,31
932,106137,41-43-49-55
933,106209,8-17
934,106376,26-56
935,106511,17-14-10-27
936,106538,26-25-22-52
937,106654,42-17-16-10-9
938,106683,22-10-8
939,106767,8-33-53
940,106867,2-6-26
941,106882,9-26
942,106885,25-17-10
943,106907,26-33
944,106916,10-14-16-42
945,106928,3-29-52
946,106935,30-55
947,106952,2-31-49
948,106954,39-55
949,106955,8-17-33
950,106988,17-19-42-49
951,1,4
952,106999,25-55
953,107025,12
954,107033,2-26
955,107055,36-26-3-49
956,107073,2-17
957,107109,22-23-41
958,107112,45
959,107128,17
960,107129,22-31-32
961,107144,22-34-52
962,107145,22-34-36-52-53
963,107162,26-55-56
964,107163,26-56
965,107164,41-30-25-42
966,107169,22-19-25
967,107170,25-2-52
968,107172,16-26-42-55
969,107175,21
970,4,3
971,107196,12-49-56
972,107197,9-17-53
973,107198,49-53-55-56
974,107201,8-41
975,107215,9-22
976,107216,42-19-16-14
977,107219,23-31
978,107220,25-17-56
979,107227,53-22-2
980,107241,1-22-30-37
981,107242,17-42
982,107243,6-47
983,107268,25-22-42
984,107270,41
985,107274,41
986,107275,39-2-52
987,107277,12
988,107278,23-31-41
989,107279,30-35-36
990,107280,10-35-52
991,107285,25-55
992,107290,21-51
993,107291,26
994,107292,25-17-27-32
995,107294,31-32
996,107296,23
997,107297,17-2-1-52
998,107300,10-17-19-35-42-51
999,107301,41-45
1000,107305,13
1001,107306,10-14-17-42-55
1002,2,3
1003,107308,45
1004,107315,8-10-17-42
1005,107325,49-23-22-56
1006,107326,14-42
1007,107362,8-10-53
1008,107972,7-30
1009,108052,42-27-17
1010,108093,9-10-26-42
1011,108185,36
1012,108216,36-53
1013,108245,25-16-14-42
1014,108324,22-52
1015,108347,36-25-2-53
1016,108375,2-36
1017,108376,17-36-52
1018,108385,7-26-33-36
1019,108472,35-36
1020,108525,47-49
1021,108528,18-26
1022,108543,14-17-19-42
1023,108549,22-56
1024,108585,2-55-56
1025,108635,18-31
1026,108648,35-49
1027,108666,25-56
1028,108668,31-25-2-1-39
1029,108686,16-21-42
1030,3,1
1031,108692,4-42
1032,108694,26-30
1033,108695,25-19-1-52
1034,108698,12-18
1035,108699,18-22-25-41
1036,108701,53-52-25-12-55
1037,108702,16-17-42
1038,108703,16-22-42
1039,1,2
1040,108706,5-17-35
1041,108707,27-8-36
1042,108708,17-6-2-42
1043,108709,42-55
1044,108712,26-41
1045,108713,22-26-30-50
1046,108714,21
1047,108715,42-55
1048,108717,32-41
1049,108721,26-36
1050,108723,4-22-31-53
1051,108728,12-52
1052,108729,41-49
1053,1,4
1054,108731,55-31-22
1055,108732,2-16-42
1056,108733,7-8-30-52
1057,108734,11
1058,108735,42-55-56
1059,108737,17-33-36
1060,108738,2-17-52
1061,108739,35-2-53
1062,108740,16-42-53
1063,108743,8-9
1064,108744,2-6-17-31-38-43-49
1065,108748,31-23-8-53
1066,108749,26
1067,108750,36-35-32
1068,108751,2-12-18
