paper,conf,year,status
93668,5,2012,accepted
93703,5,2012,accepted
93705,5,2012,rejected
93706,5,2012,rejected
93712,5,2012,rejected
93733,5,2012,accepted
93757,5,2012,rejected
93852,5,2012,rejected
93855,5,2012,rejected
93863,5,2012,accepted
93865,5,2012,accepted
93898,5,2012,accepted
93899,5,2012,rejected
93901,5,2012,accepted
93902,5,2012,accepted
93906,5,2012,accepted
93913,5,2012,accepted
93915,5,2012,accepted
93917,5,2012,accepted
93919,5,2012,accepted
93921,5,2012,rejected
93923,5,2012,accepted
93925,5,2012,accepted
93926,5,2012,accepted
93929,5,2012,rejected
93930,5,2012,accepted
93931,5,2012,rejected
93938,5,2012,accepted
93939,5,2012,accepted
93941,5,2012,rejected
93952,5,2012,rejected
93954,5,2012,accepted
93958,5,2012,rejected
93959,5,2012,accepted
93963,5,2012,accepted
93967,5,2012,accepted
93968,5,2012,rejected
93969,5,2012,accepted
93970,5,2012,accepted
93971,5,2012,accepted
93972,5,2012,accepted
93973,5,2012,accepted
93975,5,2012,rejected
93978,5,2012,accepted
93981,5,2012,accepted
93982,5,2012,accepted
93986,5,2012,accepted
93989,5,2012,rejected
93991,5,2012,accepted
93992,5,2012,accepted
93993,5,2012,accepted
93995,5,2012,accepted
93997,5,2012,accepted
93998,5,2012,accepted
93999,5,2012,accepted
94000,5,2012,accepted
94001,5,2012,rejected
94003,5,2012,accepted
94004,5,2012,rejected
94006,5,2012,accepted
94008,5,2012,accepted
94010,5,2012,accepted
94011,5,2012,rejected
94014,5,2012,rejected
94018,5,2012,accepted
94019,5,2012,rejected
94020,5,2012,accepted
94021,5,2012,rejected
94022,5,2012,rejected
94023,5,2012,accepted
94024,5,2012,accepted
94025,5,2012,accepted
94026,5,2012,accepted
94029,5,2012,rejected
94030,5,2012,rejected
94031,5,2012,accepted
94032,5,2012,rejected
94033,5,2012,accepted
94034,5,2012,accepted
94035,5,2012,rejected
94037,5,2012,accepted
94040,5,2012,accepted
94041,5,2012,rejected
94042,5,2012,accepted
94043,5,2012,rejected
94044,5,2012,accepted
94045,5,2012,rejected
94046,5,2012,rejected
94048,5,2012,accepted
94049,5,2012,rejected
94052,5,2012,accepted
94053,5,2012,rejected
94054,5,2012,accepted
94056,5,2012,rejected
94057,5,2012,accepted
94059,5,2012,accepted
94060,5,2012,accepted
94061,5,2012,accepted
94062,5,2012,accepted
94063,5,2012,accepted
94064,5,2012,accepted
94065,5,2012,rejected
94066,5,2012,rejected
94067,5,2012,rejected
94068,5,2012,accepted
94069,5,2012,accepted
94070,5,2012,accepted
94071,5,2012,accepted
94072,5,2012,accepted
94073,5,2012,accepted
94074,5,2012,rejected
94075,5,2012,rejected
94076,5,2012,rejected
94077,5,2012,accepted
94078,5,2012,accepted
94079,5,2012,accepted
94080,5,2012,accepted
94082,5,2012,accepted
94083,5,2012,rejected
94085,5,2012,rejected
94086,5,2012,rejected
94087,5,2012,accepted
94088,5,2012,accepted
94091,5,2012,rejected
94092,5,2012,rejected
94093,5,2012,accepted
94094,5,2012,accepted
94095,5,2012,rejected
94096,5,2012,accepted
94097,5,2012,rejected
94098,5,2012,accepted
94099,5,2012,accepted
94100,5,2012,rejected
94103,5,2012,accepted
94104,5,2012,accepted
94105,5,2012,accepted
94108,5,2012,accepted
94109,5,2012,accepted
94110,5,2012,rejected
94112,5,2012,accepted
94115,5,2012,accepted
94116,5,2012,accepted
94122,5,2012,accepted
94138,5,2012,accepted
94145,5,2012,rejected
98201,6,2012,rejected
98202,6,2012,rejected
98204,6,2012,accepted
98206,6,2012,rejected
98223,6,2012,accepted
98230,6,2012,rejected
98252,6,2012,rejected
98266,6,2012,rejected
98309,6,2012,accepted
98311,6,2012,accepted
98315,6,2012,rejected
98319,6,2012,accepted
98323,6,2012,accepted
98329,6,2012,accepted
98334,6,2012,accepted
98335,6,2012,rejected
98338,6,2012,accepted
98339,6,2012,accepted
98340,6,2012,accepted
98342,6,2012,accepted
98343,6,2012,accepted
98346,6,2012,rejected
98347,6,2012,accepted
98348,6,2012,accepted
98353,6,2012,accepted
98354,6,2012,accepted
98356,6,2012,rejected
98357,6,2012,accepted
98360,6,2012,accepted
98364,6,2012,rejected
98370,6,2012,rejected
98372,6,2012,accepted
98378,6,2012,accepted
98379,6,2012,accepted
98382,6,2012,rejected
98383,6,2012,accepted
98384,6,2012,accepted
98386,6,2012,rejected
98389,6,2012,accepted
98397,6,2012,accepted
98423,6,2012,accepted
99136,6,2012,rejected
99146,6,2012,accepted
99150,6,2012,accepted
99178,6,2012,accepted
99246,6,2012,rejected
99252,6,2012,rejected
99254,6,2012,rejected
99257,6,2012,rejected
99298,6,2012,rejected
99307,6,2012,rejected
99311,6,2012,accepted
99324,6,2012,rejected
99326,6,2012,rejected
99330,6,2012,accepted
99332,6,2012,accepted
99334,6,2012,accepted
99336,6,2012,rejected
99350,6,2012,accepted
99369,6,2012,accepted
99374,6,2012,accepted
99387,6,2012,accepted
99388,6,2012,rejected
99390,6,2012,accepted
99703,6,2012,accepted
99866,6,2012,rejected
99878,6,2012,accepted
99917,6,2012,rejected
99924,6,2012,accepted
99925,6,2012,accepted
99956,6,2012,rejected
99985,6,2012,accepted
100026,6,2012,rejected
100857,6,2012,accepted
101008,6,2012,accepted
101009,6,2012,accepted
101165,6,2012,accepted
101176,6,2012,rejected
101229,6,2012,accepted
101273,6,2012,accepted
101286,6,2012,accepted
101455,6,2012,accepted
101748,6,2012,accepted
101750,6,2012,accepted
101751,6,2012,accepted
101792,6,2012,accepted
106396,6,2012,accepted
106421,6,2012,accepted
106460,6,2012,accepted
106464,6,2012,accepted
106473,6,2012,accepted
106531,6,2012,accepted
106552,6,2012,accepted
106634,6,2012,accepted
108133,6,2012,accepted
108134,6,2012,accepted
108137,6,2012,accepted
108365,6,2012,accepted
108366,6,2012,accepted
108367,6,2012,accepted
108370,6,2012,accepted
104088,7,2013,rejected
104992,7,2013,rejected
105028,7,2013,accepted
105276,7,2013,rejected
105478,7,2013,rejected
106137,7,2013,rejected
106209,7,2013,accepted
106376,7,2013,accepted
106511,7,2013,accepted
106538,7,2013,rejected
106654,7,2013,accepted
106683,7,2013,accepted
106767,7,2013,accepted
106867,7,2013,accepted
106882,7,2013,rejected
106885,7,2013,accepted
106907,7,2013,accepted
106916,7,2013,accepted
106928,7,2013,accepted
106935,7,2013,accepted
106952,7,2013,rejected
106954,7,2013,accepted
106955,7,2013,accepted
106988,7,2013,accepted
106999,7,2013,accepted
107025,7,2013,accepted
107033,7,2013,accepted
107055,7,2013,rejected
107073,7,2013,rejected
107109,7,2013,accepted
107112,7,2013,accepted
107128,7,2013,rejected
107129,7,2013,rejected
107144,7,2013,rejected
107145,7,2013,accepted
107162,7,2013,accepted
107163,7,2013,accepted
107164,7,2013,accepted
107169,7,2013,rejected
107170,7,2013,rejected
107172,7,2013,rejected
107175,7,2013,rejected
107196,7,2013,accepted
107197,7,2013,rejected
107198,7,2013,accepted
107201,7,2013,rejected
107215,7,2013,accepted
107216,7,2013,accepted
107219,7,2013,accepted
107220,7,2013,accepted
107227,7,2013,accepted
107241,7,2013,rejected
107242,7,2013,accepted
107243,7,2013,accepted
107268,7,2013,accepted
107270,7,2013,rejected
107274,7,2013,accepted
107275,7,2013,rejected
107277,7,2013,rejected
107278,7,2013,rejected
107279,7,2013,accepted
107280,7,2013,rejected
107285,7,2013,rejected
107290,7,2013,accepted
107291,7,2013,accepted
107292,7,2013,rejected
107294,7,2013,accepted
107296,7,2013,accepted
107297,7,2013,rejected
107300,7,2013,accepted
107301,7,2013,rejected
107305,7,2013,accepted
107306,7,2013,accepted
107308,7,2013,accepted
107315,7,2013,accepted
107325,7,2013,accepted
107326,7,2013,accepted
107362,7,2013,accepted
107972,7,2013,accepted
108052,7,2013,accepted
108093,7,2013,accepted
108185,7,2013,accepted
108216,7,2013,rejected
108245,7,2013,accepted
108324,7,2013,accepted
108347,7,2013,rejected
108375,7,2013,rejected
108376,7,2013,accepted
108385,7,2013,accepted
108472,7,2013,accepted
108525,7,2013,accepted
108528,7,2013,accepted
108543,7,2013,accepted
108549,7,2013,accepted
108585,7,2013,accepted
108635,7,2013,accepted
108648,7,2013,accepted
108666,7,2013,accepted
108668,7,2013,accepted
108686,7,2013,accepted
108692,7,2013,accepted
108694,7,2013,accepted
108695,7,2013,accepted
108698,7,2013,accepted
108699,7,2013,accepted
108701,7,2013,accepted
108702,7,2013,accepted
108703,7,2013,accepted
108706,7,2013,accepted
108707,7,2013,rejected
108708,7,2013,rejected
108709,7,2013,accepted
108712,7,2013,accepted
108713,7,2013,accepted
108714,7,2013,accepted
108715,7,2013,accepted
108717,7,2013,accepted
108721,7,2013,rejected
108723,7,2013,rejected
108728,7,2013,accepted
108729,7,2013,rejected
108731,7,2013,accepted
108732,7,2013,rejected
108733,7,2013,accepted
108734,7,2013,accepted
108735,7,2013,accepted
108737,7,2013,rejected
108738,7,2013,accepted
108739,7,2013,rejected
108740,7,2013,accepted
108743,7,2013,accepted
108744,7,2013,accepted
108748,7,2013,accepted
108749,7,2013,accepted
108750,7,2013,accepted
108751,7,2013,rejected
108752,7,2013,accepted
108753,7,2013,accepted
108755,7,2013,rejected
108756,7,2013,accepted
108757,7,2013,accepted
108758,7,2013,accepted
108760,7,2013,accepted
108762,7,2013,accepted
108764,7,2013,rejected
108765,7,2013,rejected
108766,7,2013,accepted
108767,7,2013,accepted
108768,7,2013,rejected
108771,7,2013,rejected
108773,7,2013,accepted
108774,7,2013,accepted
108775,7,2013,accepted
108776,7,2013,rejected
108777,7,2013,rejected
108779,7,2013,rejected
108782,7,2013,accepted
108783,7,2013,accepted
108784,7,2013,accepted
108785,7,2013,rejected
108786,7,2013,accepted
108788,7,2013,accepted
108790,7,2013,accepted
108791,7,2013,rejected
108792,7,2013,accepted
108794,7,2013,rejected
108795,7,2013,accepted
108801,7,2013,accepted
108802,7,2013,accepted
108805,7,2013,rejected
108806,7,2013,accepted
108809,7,2013,accepted
108810,7,2013,accepted
108811,7,2013,accepted
108812,7,2013,accepted
108814,7,2013,rejected
108815,7,2013,rejected
108816,7,2013,accepted
108817,7,2013,accepted
108819,7,2013,accepted
108820,7,2013,accepted
108821,7,2013,accepted
108823,7,2013,accepted
108824,7,2013,accepted
108825,7,2013,rejected
108828,7,2013,rejected
108829,7,2013,accepted
108830,7,2013,rejected
108831,7,2013,accepted
108832,7,2013,accepted
108836,7,2013,accepted
108837,7,2013,accepted
108839,7,2013,accepted
108840,7,2013,rejected
108841,7,2013,accepted
108843,7,2013,rejected
108844,7,2013,accepted
108888,7,2013,rejected
108972,7,2013,accepted
118698,8,2014,accepted
118725,8,2014,accepted
120084,8,2014,accepted
120091,8,2014,accepted
120108,8,2014,accepted
120186,8,2014,accepted
120463,8,2014,accepted
120536,8,2014,accepted
120561,8,2014,accepted
120562,8,2014,rejected
120564,8,2014,rejected
120674,8,2014,accepted
120837,8,2014,rejected
120880,8,2014,rejected
120965,8,2014,rejected
120966,8,2014,accepted
120968,8,2014,rejected
120978,8,2014,accepted
121043,8,2014,accepted
